,genero_musical,comida_favorita,filme_favorito,esporte_favorito,time,religiao,tem_filhos,idade,destino
0,7.0,1.0,7.0,4.0,4.0,0.0,1.0,21.0,Shopping
1,7.0,1.0,7.0,4.0,4.0,0.0,1.0,21.0,Parque
2,7.0,1.0,7.0,4.0,4.0,0.0,1.0,21.0,Shopping
3,1.0,1.0,7.0,3.0,1.0,6.0,1.0,21.0,Parque
4,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
5,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
6,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
7,5.0,0.0,1.0,0.0,1.0,5.0,0.0,21.0,Jogos
8,3.0,0.0,3.0,0.0,3.0,0.0,1.0,27.0,Shopping
9,3.0,4.0,2.0,0.0,0.0,0.0,1.0,27.0,Shopping
10,0.0,5.0,7.0,7.0,0.0,6.0,1.0,57.0,Teatro
11,0.0,1.0,1.0,0.0,3.0,0.0,1.0,53.0,Parque
12,0.0,0.0,1.0,4.0,0.0,0.0,1.0,52.0,Shopping
13,3.0,2.0,3.0,2.0,4.0,0.0,1.0,52.0,Parque
14,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Cinema
15,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Parque
16,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Museu
17,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Biblioteca
18,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Estádio
19,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Jogos
20,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Teatro
21,7.0,1.0,3.0,2.0,1.0,0.0,1.0,50.0,Bar
22,1.0,5.0,5.0,0.0,3.0,0.0,1.0,50.0,Shopping
23,1.0,5.0,5.0,0.0,3.0,0.0,1.0,50.0,Shopping
24,1.0,5.0,5.0,0.0,3.0,0.0,1.0,50.0,Teatro
25,1.0,5.0,5.0,0.0,3.0,0.0,1.0,50.0,Bar
26,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Cinema
27,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Shopping
28,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Parque
29,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Show
30,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Teatro
31,4.0,4.0,5.0,7.0,4.0,0.0,1.0,47.0,Bar
32,4.0,1.0,2.0,7.0,3.0,0.0,1.0,46.0,Parque
33,1.0,5.0,3.0,2.0,1.0,0.0,1.0,46.0,Shopping
34,0.0,1.0,2.0,2.0,1.0,0.0,1.0,45.0,Bar
35,1.0,5.0,2.0,0.0,1.0,0.0,1.0,45.0,Shopping
36,4.0,1.0,4.0,2.0,4.0,0.0,1.0,44.0,Cinema
37,1.0,5.0,7.0,2.0,4.0,0.0,1.0,44.0,Shopping
38,7.0,4.0,3.0,4.0,1.0,0.0,1.0,44.0,Shopping
