genero_musical;comida_favorita;filme_favorito;esporte_favorito;time;religiao;tem_filhos;idade;destino
3;0;3;0;3;0;1;27;Restaurante
1;0;1;0;1;0;1;42;Restaurante
7;0;5;0;1;0;1;42;Restaurante
7;0;5;0;1;0;1;42;Shopping
1;0;7;0;0;0;1;41;Restaurante
7;0;7;0;1;0;1;41;Restaurante
0;0;6;0;1;0;1;40;Restaurante
1;0;1;0;3;0;1;38;Cinema
1;0;1;0;1;0;0;32;Shopping
7;0;2;0;1;0;0;19;Cinema
7;0;2;0;1;0;0;19;Restaurante
7;0;2;0;1;0;0;19;Parque
7;0;2;0;1;0;0;19;Shopping
7;0;2;0;1;0;0;19;Museu
7;0;2;0;1;0;0;19;Jogos
7;0;2;0;1;0;0;19;Teatro
2;0;7;0;3;0;0;19;Cinema
2;0;7;0;3;0;0;19;Restaurante
2;0;7;0;3;0;0;19;Parque
2;0;7;0;3;0;0;19;Shopping
2;0;7;0;3;0;0;19;Biblioteca
2;0;7;0;3;0;0;19;Jogos
2;0;7;0;3;0;0;19;Bar
2;0;7;0;3;0;0;19;Cinema
2;0;7;0;3;0;0;19;Restaurante
2;0;7;0;3;0;0;19;Parque
2;0;7;0;3;0;0;19;Shopping
2;0;7;0;3;0;0;19;Biblioteca
2;0;7;0;3;0;0;19;Jogos
2;0;7;0;3;0;0;19;Bar
0;0;1;0;1;0;1;27;Bar
0;0;1;0;1;0;1;27;OUTROS
1;0;7;0;1;0;1;43;OUTROS
0;0;1;0;5;0;1;42;Bar
0;0;3;0;4;0;1;39;Biblioteca
7;0;6;0;0;0;0;35;Cinema
7;0;6;0;0;0;0;35;Restaurante
7;0;6;0;0;0;0;35;Shopping
7;0;6;0;0;0;0;35;Show
7;0;6;0;0;0;0;35;Estádio
7;0;6;0;0;0;0;35;Bar
0;0;7;0;4;0;0;21;Cinema
0;0;7;0;4;0;0;21;Restaurante
0;0;7;0;4;0;0;21;Shopping
0;0;7;0;4;0;0;21;Jogos
7;0;7;0;0;0;0;23;Restaurante
7;0;7;0;0;0;0;23;Parque
7;0;7;0;0;0;0;23;Shopping
7;0;7;0;0;0;0;23;Biblioteca
7;0;7;0;0;0;0;23;Teatro
0;0;1;0;5;0;1;38;Cinema
0;0;1;0;5;0;1;38;Shopping
0;0;1;0;5;0;1;38;Estádio
6;0;6;0;3;0;0;28;Cinema
6;0;6;0;3;0;0;28;Restaurante
6;0;6;0;3;0;0;28;Parque
6;0;6;0;3;0;0;28;Shopping
0;0;1;0;0;0;0;28;Cinema
6;0;2;0;4;0;0;21;Restaurante
4;0;1;0;5;0;0;21;Cinema
4;0;1;0;5;0;0;21;Restaurante
4;0;1;0;5;0;0;21;Shopping
1;0;2;0;3;0;0;28;Bar
0;0;7;0;2;0;0;30;Cinema
0;0;7;0;2;0;0;30;Restaurante
0;0;7;0;2;0;0;30;Museu
3;0;3;0;5;0;0;22;Restaurante
0;0;2;0;1;0;0;27;Cinema
0;0;2;0;1;0;0;27;Restaurante
0;0;2;0;1;0;0;27;Parque
0;0;2;0;1;0;0;27;Shopping
7;0;8;0;5;0;0;23;Cinema
